t,phase,h,v,mach,q,drag,thrust,weight,mass,accel,accel_g,TW,T,T_C,p,p_kPa,rho,a_snd,mu,nu,sigma,delta,Re_body,Re_fin
1.0502,boost,27.443017,51.932913,0.152659,1647.581525,5.021784,79.9,12.721348,1.297216,47.915571,4.886028,6.280781,287.971621,14.821621,100995.758436,100.995758,1.221776,340.188642,1.8e-05,1.5e-05,0.997368,0.996751,298002.459024,266073.624128
1.1002,boost,30.099685,54.322018,0.159687,1802.197987,5.493051,79.9,12.700439,1.295084,47.646712,4.858612,6.291121,287.954353,14.804353,100963.931841,100.963932,1.221464,340.178443,1.8e-05,1.5e-05,0.997114,0.996437,311646.649287,278255.936863
1.1502,boost,32.875465,56.697334,0.166675,1962.728259,5.982343,79.9,12.67953,1.292952,47.363025,4.829684,6.301496,287.936311,14.786311,100930.686999,100.930687,1.221138,340.167785,1.8e-05,1.5e-05,0.996848,0.996108,325202.998293,290359.819904
1.2002,boost,35.76965,59.058132,0.17362,2128.989659,6.489103,79.9,12.65862,1.29082,47.064869,4.799281,6.311904,287.917499,14.767499,100896.033528,100.896034,1.220799,340.156673,1.8e-05,1.5e-05,0.996571,0.995766,338667.015672,302381.263993
1.2502,boost,38.781495,61.403701,0.180522,2300.793089,7.012756,79.9,12.637711,1.288688,46.752618,4.76744,6.322347,287.897922,14.747922,100859.981513,100.859982,1.220446,340.145108,1.8e-05,1.5e-05,0.996282,0.995411,352034.33037,314316.366402
1.3002,boost,41.910222,63.733351,0.187378,2477.943536,7.552705,79.9,12.616802,1.286556,46.426665,4.734202,6.332825,287.877585,14.727585,100822.541498,100.822541,1.220079,340.133094,1.8e-05,1.5e-05,0.995983,0.995041,365300.695927,326161.335649
1.3502,boost,45.155018,66.04641,0.194185,2660.240586,8.108342,79.9,12.595893,1.284424,46.087416,4.699609,6.343338,287.856494,14.706494,100783.724469,100.783724,1.219698,340.120635,1.8e-05,1.5e-05,0.995672,0.994658,378461.995401,337912.495894
1.4002,coast-to-staging,48.515036,68.342229,0.200943,2847.478937,8.679039,0.0,12.575067,1.2823,-16.574988,-1.690178,0.0,287.834655,14.684655,100743.541841,100.743542,1.219305,340.107732,1.8e-05,1.5e-05,0.995351,0.994261,391514.245943,349566.291021
1.4502,coast-to-staging,51.91142,67.517783,0.198526,2778.285176,8.468139,0.0,12.575067,1.2823,-16.410517,-1.673407,0.0,287.812579,14.662579,100702.937553,100.702938,1.218907,340.094689,1.8e-05,1.5e-05,0.995026,0.993861,386688.028724,345257.168503
1.5002,coast-to-staging,55.266786,66.701483,0.196134,2710.637214,8.26195,0.0,12.575067,1.2823,-16.249721,-1.65701,0.0,287.790769,14.640769,100662.836686,100.662837,1.218514,340.081803,1.8e-05,1.5e-05,0.994705,0.993465,381912.226704,340993.059558
1.5502,coast-to-staging,58.581539,65.893148,0.193764,2644.493742,8.060346,0.0,12.575067,1.2823,-16.0925,-1.640978,0.0,287.769224,14.619224,100623.233951,100.623234,1.218125,340.069073,1.8e-05,1.5e-05,0.994388,0.993074,377185.699745,336772.946201
1.6002,coast-to-staging,61.85607,65.092598,0.191417,2579.814891,7.863207,0.0,12.575067,1.2823,-15.938762,-1.625301,0.0,287.747939,14.597939,100584.124178,100.584124,1.217742,340.056496,1.8e-05,1.5e-05,0.994075,0.992688,372507.338524,332595.837968
1.6502,coast-to-staging,65.090766,64.299663,0.189092,2516.562169,7.670414,0.0,12.575067,1.2823,-15.788412,-1.60997,0.0,287.726914,14.576914,100545.502312,100.545502,1.217363,340.044072,1.8e-05,1.5e-05,0.993766,0.992307,367876.06346,328460.770946
1.7002,coast-to-staging,68.286003,63.514173,0.186789,2454.698412,7.481855,0.0,12.575067,1.2823,-15.641365,-1.594975,0.0,287.706146,14.556146,100507.363412,100.507363,1.21699,340.0318,1.8e-05,1.5e-05,0.993461,0.991931,363290.823671,324366.806849
1.7502,coast-to-staging,71.442148,62.735963,0.184507,2394.187722,7.29742,0.0,12.575067,1.2823,-15.497534,-1.580309,0.0,287.685631,14.535631,100469.70265,100.469703,1.21662,340.019677,1.8e-05,1.5e-05,0.993159,0.991559,358750.595985,320313.032129
1.8002,coast-to-staging,74.559563,61.964876,0.182246,2334.995424,7.117003,0.0,12.575067,1.2823,-15.356836,-1.565961,0.0,287.665369,14.515369,100432.515301,100.432515,1.216256,340.007702,1.8e-05,1.5e-05,0.992862,0.991192,354254.383982,316298.557127
