z_m,h_geopot_m,T_K,T_C,p_Pa,p_kPa,p_atm,rho_kgm3,a_ms,mu_Pas,nu_m2s,sigma,delta,theta
3250,3248.3,267.035795,-6.114205,67922.597665,67.922598,0.670344,0.8861,327.589298,1.7e-05,1.9e-05,0.723347,0.670344,0.926725
3500,3498.1,265.412519,-7.737481,65780.370492,65.78037,0.649202,0.863402,326.592093,1.7e-05,1.9e-05,0.704818,0.649202,0.921092
3750,3747.8,263.789371,-9.360629,63693.345824,63.693346,0.628604,0.841153,325.591914,1.7e-05,2e-05,0.686655,0.628604,0.915459
4000,3997.5,262.16635,-10.98365,61660.422574,61.660423,0.608541,0.819347,324.588731,1.7e-05,2e-05,0.668854,0.608541,0.909826
4250,4247.2,260.543457,-12.606543,59680.515166,59.680515,0.589001,0.797977,323.582518,1.7e-05,2.1e-05,0.65141,0.589001,0.904194
4500,4496.8,258.920692,-14.229308,57752.55341,57.752553,0.569973,0.777039,322.573245,1.6e-05,2.1e-05,0.634317,0.569973,0.898562
4750,4746.5,257.298054,-15.851946,55875.482369,55.875482,0.551448,0.756524,321.560885,1.6e-05,2.2e-05,0.617571,0.551448,0.892931
5000,4996.1,255.675543,-17.474457,54048.262238,54.048262,0.533415,0.736429,320.545407,1.6e-05,2.2e-05,0.601166,0.533415,0.8873
5250,5245.7,254.05316,-19.09684,52269.868211,52.269868,0.515863,0.716745,319.526782,1.6e-05,2.3e-05,0.585098,0.515863,0.88167
5500,5495.2,252.430905,-20.719095,50539.29036,50.53929,0.498784,0.697469,318.50498,1.6e-05,2.3e-05,0.569362,0.498784,0.87604
5750,5744.8,250.808777,-22.341223,48855.533508,48.855534,0.482167,0.678593,317.479969,1.6e-05,2.4e-05,0.553953,0.482167,0.87041
6000,5994.3,249.186776,-23.963224,47217.617099,47.217617,0.466002,0.660111,316.45172,1.6e-05,2.4e-05,0.538866,0.466002,0.864781
6250,6243.9,247.564903,-25.585097,45624.575077,45.624575,0.45028,0.642019,315.4202,1.6e-05,2.5e-05,0.524097,0.45028,0.859153
6500,6493.4,245.943158,-27.206842,44075.45576,44.075456,0.434991,0.62431,314.385377,1.6e-05,2.5e-05,0.509641,0.434991,0.853525
6750,6742.8,244.32154,-28.82846,42569.321714,42.569322,0.420127,0.606978,313.347218,1.6e-05,2.6e-05,0.495492,0.420127,0.847897
7000,6992.3,242.700049,-30.449951,41105.249629,41.10525,0.405677,0.590018,312.30569,1.6e-05,2.6e-05,0.481648,0.405677,0.84227
7250,7241.7,241.078686,-32.071314,39682.330197,39.68233,0.391634,0.573425,311.260759,1.6e-05,2.7e-05,0.468102,0.391634,0.836643
7500,7491.2,239.45745,-33.69255,38299.667984,38.299668,0.377988,0.557192,310.212391,1.5e-05,2.8e-05,0.45485,0.377988,0.831017
7750,7740.6,237.836341,-35.313659,36956.38131,36.956381,0.364731,0.541314,309.160551,1.5e-05,2.8e-05,0.441889,0.364731,0.825391
8000,7989.9,236.21536,-36.93464,35651.602124,35.651602,0.351854,0.525786,308.105202,1.5e-05,2.9e-05,0.429213,0.351854,0.819765
