t,x,z,vx,vz,theta,q,alpha,M,qdyn,N,delta,tau_cmd,Fs,duty,I_coil,Xcg,Xcp,SM,m,Iyy,M_aero,M_thrust,wind_gust
0.001,0.0,2.2761195177168485e-05,0.0,0.04552238054535907,0.0,0.0,0.0,2.9411764705882356e-12,6.125000000000001e-19,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4440000000000002,0.09699429590787999,-0.0,0.0,0.0
0.002,0.0,9.104555850787628e-05,0.0,0.09104633630644966,0.0,0.0,0.0,0.00013388935748635022,0.0012692759198074132,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4439573571428572,0.09698882757508213,-0.0,0.0,0.0
0.003,0.0,0.00020485466525335775,0.0,0.13657186737427757,0.0,0.0,0.0,0.0002677833450189696,0.005077279211979415,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4439147142857143,0.09698335924228428,-0.0,0.0,0.0
0.004,0.0,0.0003641900907658575,0.0,0.1820989738398575,0.0,0.0,0.0,0.0004016819658066987,0.011424273303803852,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4438720714285715,0.09697789090948643,-0.0,0.0,0.0
0.005,0.0,0.0005690534104886393,0.0,0.227627655794213,0.0,0.0,0.0,0.0005355852201172279,0.020310521570385365,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4438294285714286,0.09697242257668856,-0.0,0.0,0.0
0.006,0.0,0.0008194461999559949,0.0,0.27315791332837663,0.0,0.0,0.0,0.0006694931082182736,0.031736287334630825,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4437867857142859,0.09696695424389071,-0.0,0.0,0.0
0.007,0.0,0.0011153700347932532,0.0,0.3186897465333897,0.0,0.0,0.0,0.0008034056303775785,0.04570183386723472,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.443744142857143,0.09696148591109285,-0.0,0.0,0.0
0.008,0.0,0.0014568264907167884,0.0,0.36422315550030254,0.0,0.0,0.0,0.000937322786862911,0.06220742438666459,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4437015,0.09695601757829499,-0.0,0.0,0.0
0.009000000000000001,0.0,0.0018438171435340301,0.0,0.4097581403201742,0.0,0.0,0.0,0.0010712445779420664,0.0812533220591465,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4436588571428572,0.09695054924549713,-0.0,0.0,0.0
0.010000000000000002,0.0,0.002276343569143471,0.0,0.4552947010840729,0.0,0.0,0.0,0.0012051710038828655,0.10283978999865027,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4436162142857143,0.09694508091269928,-0.0,0.0,0.0
0.011000000000000003,0.0,0.0027544073435346768,0.0,0.5008328378830754,0.0,0.0,0.0,0.0013391020649531557,0.12696709126687525,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4435735714285716,0.09693961257990141,-0.0,0.0,0.0
0.012000000000000004,0.0,0.0032780100427882938,0.0,0.5463725508082679,0.0,0.0,0.0,0.00147303776142081,0.15363548887323525,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.4435309285714286,0.09693414424710356,-0.0,0.0,0.0
0.013000000000000005,0.0,0.0038471532430760596,0.0,0.5919138399507448,0.0,0.0,0.0,0.0016069780935537288,0.1828452457748446,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.443488285714286,0.0969286759143057,-0.0,0.0,0.0
0.014000000000000005,0.0,0.0044618385206608106,0.0,0.6374567054016099,0.0,0.0,0.0,0.0017409230616198374,0.2145966248765028,0.0,0.0,0,0,0,0,0.4419,0.578,1.6202380952380944,1.443445642857143,0.09692320758150785,-0.0,0.0,0.0
