t,x,z,vx,vz,theta,q,alpha,M,qdyn,N,delta,tau_cmd,Fs,duty,I_coil,Xcg,Xcp,SM,m,Iyy,M_aero,M_thrust,wind_gust
0.001,0.0,7.59499538444846e-06,0.0,0.01518998615334749,0.0,0.0,0.0,2.9411764705882356e-12,6.125000000000001e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.578,1.666666666666666,1.024,0.0676823776,-0.0,0.0,0.0
0.002,0.0,3.0380057582170434e-05,0.0,0.030380133626463135,0.0,0.0,0.0,4.4676432803963205e-05,0.0001413256220765243,0.0,0.0,0.0,0.0,0.0,0.0,0.4380012580645161,0.578,1.666651689708141,1.0239922580645162,0.06768134121276703,-0.0,0.0,0.0
0.003,0.0,6.83553479140068e-05,0.0,0.0455704424214924,0.0,0.0,0.0,8.935333713665628e-05,0.0005653084531817572,0.0,0.0,0.0,0.0,0.0,0.0,0.43800251612903224,0.578,1.6666367127496156,1.0239845161290322,0.0676803048397133,-0.0,0.0,0.0
0.004,0.0,0.00012152102770294397,0.0,0.06076091254058093,0.0,0.0,0.0,0.00013403071594556587,0.001271957494370422,0.0,0.0,0.0,0.0,0.0,0.0,0.4380037741935484,0.578,1.6666217357910897,1.0239767741935484,0.06767926848083868,-0.0,0.0,0.0
0.005,0.0,0.00018987725827411414,0.0,0.07595154398587457,0.0,0.0,0.0,0.00017870856923700272,0.0022612817439215237,0.0,0.0,0.0,0.0,0.0,0.0,0.43800503225806453,0.578,1.6666067588325646,1.0239690322580646,0.06767823213614313,-0.0,0.0,0.0
0.006,0.0,0.0002734242009547954,0.0,0.09114233675951937,0.0,0.0,0.0,0.00022338689701727814,0.0035332901973381564,0.0,0.0,0.0,0.0,0.0,0.0,0.43800629032258065,0.578,1.6665917818740392,1.0239612903225805,0.06767719580562656,-0.0,0.0,0.0
0.007,0.0,0.0003721620170744121,0.0,0.10633329086366153,0.0,0.0,0.0,0.00026806569929270404,0.005087991847347316,0.0,0.0,0.0,0.0,0.0,0.0,0.43800754838709677,0.578,1.666576804915514,1.0239535483870967,0.0676761594892889,-0.0,0.0,0.0
0.008,0.0,0.00048609086796453467,0.0,0.12152440630044749,0.0,0.0,0.0,0.0003127449760695927,0.006925395683899694,0.0,0.0,0.0,0.0,0.0,0.0,0.4380088064516129,0.578,1.666561827956989,1.023945806451613,0.06767512318713008,-0.0,0.0,0.0
0.009000000000000001,0.0,0.0006152109149588803,0.0,0.13671568307202386,0.0,0.0,0.0,0.0003574247273542573,0.009045510694169506,0.0,0.0,0.0,0.0,0.0,0.0,0.438010064516129,0.578,1.6665468509984636,1.0239380645161291,0.06767408689915003,-0.0,0.0,0.0
0.010000000000000002,0.0,0.0007595223193933128,0.0,0.15190712118053748,0.0,0.0,0.0,0.00040210495315301135,0.011448345862554285,0.0,0.0,0.0,0.0,0.0,0.0,0.4380113225806452,0.578,1.6665318740399377,1.023930322580645,0.06767305062534867,-0.0,0.0,0.0
0.011000000000000003,0.0,0.0009190252426058428,0.0,0.16709872062813533,0.0,0.0,0.0,0.00044678565347216906,0.014133910170674691,0.0,0.0,0.0,0.0,0.0,0.0,0.4380125806451613,0.578,1.6665168970814126,1.0239225806451613,0.06767201436572592,-0.0,0.0,0.0
0.012000000000000004,0.0,0.0010937198459366282,0.0,0.1822904814169646,0.0,0.0,0.0,0.0004914668283180451,0.01710221259737433,0.0,0.0,0.0,0.0,0.0,0.0,0.4380138387096774,0.578,1.6665019201228872,1.0239148387096775,0.06767097812028174,-0.0,0.0,0.0
0.013000000000000005,0.0,0.001283606290727974,0.0,0.1974824035491727,0.0,0.0,0.0,0.0005361484776969548,0.02035326211871953,0.0,0.0,0.0,0.0,0.0,0.0,0.43801509677419354,0.578,1.666486943164362,1.0239070967741937,0.06766994188901601,-0.0,0.0,0.0
0.014000000000000005,0.0,0.0014886847383243332,0.0,0.21267448702690722,0.0,0.0,0.0,0.0005808306016152139,0.02388706770799921,0.0,0.0,0.0,0.0,0.0,0.0,0.43801635483870965,0.578,1.666471966205837,1.0238993548387096,0.06766890567192868,-0.0,0.0,0.0
0.015000000000000006,0.0,0.0017089553500723056,0.0,0.2278667318523159,0.0,0.0,0.0,0.0006255132000791389,0.02770363833572461,0.0,0.0,0.0,0.0,0.0,0.0,0.43801761290322583,0.578,1.666456989247311,1.0238916129032258,0.06766786946901968,-0.0,0.0,0.0
0.016000000000000007,0.0,0.0019444182873206396,0.0,0.24305913802754675,0.0,0.0,0.0,0.0006701962730950468,0.031802982969629155,0.0,0.0,0.0,0.0,0.0,0.0,0.43801887096774195,0.578,1.6664420122887857,1.023883870967742,0.06766683328028891,-0.0,0.0,0.0
